amplicon	strand	p_value	editing_GFP_sorted	editing_untreated	difference
chr20_49574726-49574919	+	4.662858124265217e-4	0.02378842091342194	0.007737026628890483	0.016051394284531458
chr21_46153848-46154025	+	0.6460518650349568	0.003086747116219744	0.0034469118278373434	-3.6016471161759954e-4
chr2_20345637-20345817	+	0.9124760749205787	0.003917238435248659	0.0053414739824848645	-0.0014242355472362054
chr2_46183067-46183251	-	0.03214580123199	0.006046507675666181	0.005559095620503183	4.8741205516299787e-4
chr2_62677834-62677999	-	0.28228039337561817	0.0051060806408747194	0.004630548019219888	4.7553262165483164e-4
chr2_8767938-8768155	+	0.12266275100565459	0.006705222794553528	0.0048128373898291945	0.0018923854047243338
chr3_135161839-135162011	+	0.29643816012020957	0.002987385104950356	0.002867490575169569	1.1989452978078711e-4
chr3_138856671-138856838	+	0.39413594264115526	0.004351743244446477	0.004271451264988699	8.02919794577776e-5
chr3_51567611-51567789	-	0.566989344008927	0.004076230552992524	0.004312033521312211	-2.3580296831968682e-4
chr3_58000289-58000461	+	0.1045493078164691	0.0050480431994502795	0.004281399613732563	7.666435857177165e-4
chr4_41937355-41937562	+	0.002767130251798458	0.0780958861078042	0.005944285180474392	0.0721516009273298
chr4_53991751-53991928	+	0.17913436526777776	0.002152761836698593	0.0014108286930504183	7.419331436481745e-4
chr4_57518391-57518626	-	0.0019125114180452696	0.011931936212646958	0.004414936942621149	0.007516999270025809
chr4_89348665-89348846	+	0.11406578378834228	0.005650808220809667	0.0036760539957162394	0.0019747542250934274
chr5_132669275-132669500	+	0.9504951055758005	0.004595392517054288	0.0052110419763707104	-6.156494593164228e-4
chr5_133797239-133797427	-	0.2583583959035808	0.004929220674519833	0.004061529293415711	8.676913811041216e-4
chr5_138539677-138539845	-	0.8629028981198164	0.0018395668997097693	0.002406354111110314	-5.667872114005447e-4
chr5_141663730-141663922	-	0.05156417653648078	0.004482247131050805	0.00286624190993231	0.0016160052211184948
chr5_26626507-26626741	+	0.1400638589929323	0.004784608050467037	0.0044388243938475935	3.457836566194434e-4
chr5_52995203-52995396	+	0.892723859782099	0.0035311574376377477	0.0037374713033130127	-2.0631386567526505e-4
chr5_87692274-87692444	+	0.9549269549826042	0.0024243169045046363	0.002818345763720243	-3.940288592156069e-4
chr6_168386807-168386968	-	0.9044881806194615	0.0039055542210216865	0.007731000499231266	-0.003825446278209579
chr7_143079937-143080109	-	0.33133704798370517	0.004364521714854138	0.0038806450316372252	4.83876683216913e-4
chr7_158897806-158897987	-	8.174352895508217e-4	0.011429425577202779	0.004039454467578946	0.007389971109623833
chr7_32459188-32459357	-	0.16608359091172	0.005659015052292689	0.004413176519468098	0.0012458385328245909
chr7_8160433-8160630	+	0.09143567102711397	0.044195323813635196	0.03757327982773782	0.006622043985897379
chr8_48995772-48995937	+	0.0122081559512404	0.0042386568158499895	0.0035888990021368844	6.497578137131051e-4
chr8_49242497-49242667	-	0.0058553338764925095	0.018306244068209035	0.0059608777771228095	0.012345366291086225
chr8_5599740-5599908	-	0.02241394270944369	0.011906107171491152	0.0044910332988148316	0.00741507387267632
chrX_111465984-111466148	-	0.38291136543439647	0.004295544712634781	0.0038698564869992886	4.256882256354925e-4
