amplicon	strand	treatment	sample	numerator	denominator	edited
chr10_50895127-50895356	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	260	52785	0.0049256417542862556
chr10_50895127-50895356	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	229	44542	0.005141215033002559
chr10_50895127-50895356	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	217	45522	0.004766925881991125
chr10_50895127-50895356	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	275	51510	0.005338769171034751
chr10_50895127-50895356	+	untreated	NT_100dpi_117907_id1_S1	249	66610	0.003738177450833208
chr10_50895127-50895356	+	untreated	NT_100dpi_117907_id2_S2	216	45407	0.0047569757966833305
chr10_50895127-50895356	+	untreated	NT_100dpi_117907_id3_S3	345	68934	0.005004787187744799
chr10_50895127-50895356	+	untreated	NT_100dpi_117908_id1_S4	436	85388	0.005106103902187661
chr10_50895127-50895356	+	untreated	NT_100dpi_117908_id2_S5	362	81052	0.004466268568326506
chr10_50895127-50895356	+	untreated	NT_100dpi_117909_id4_S6	199	42339	0.004700158246533928
chr10_6119668-6119902	-	BE39max	BE39max_100dpi_117426_id1_S7	2597	16723	0.15529510255336962
chr10_6119668-6119902	-	BE39max	BE39max_100dpi_117902_id1_S9	2706	17481	0.154796636348035
chr10_6119668-6119902	-	BE39max	BE39max_100dpi_117902_id3_S10	5116	32601	0.15692770160424527
chr10_6119668-6119902	-	BE39max	BE39max_100dpi_117910_id1_S11	3228	20047	0.1610215992417818
chr10_6119668-6119902	-	TadCBEd	TadCBEd_100dpi_117900_id1_S13	1593	10218	0.1559013505578391
chr10_6119668-6119902	-	TadCBEd	TadCBEd_100dpi_117901_id1_S14	1485	9418	0.15767678912720323
chr10_6119668-6119902	-	TadCBEd	TadCBEd_100dpi_117901_id3_S16	1273	8067	0.1578033965538614
chr10_6119668-6119902	-	TadCBEd	TadCBEd_100dpi_117904_id1_S17	1383	8958	0.15438713998660417
chr10_6119668-6119902	-	TadCBEd	TadCBEd_100dpi_117904_id3_S18	1407	8992	0.15647241992882563
chr10_6119668-6119902	-	untreated	NT_100dpi_117907_id1_S1	702	4593	0.15284128020901372
chr10_6119668-6119902	-	untreated	NT_100dpi_117907_id2_S2	2382	14787	0.1610874416717387
chr10_6119668-6119902	-	untreated	NT_100dpi_117907_id3_S3	2661	17235	0.15439512619669277
chr10_6119668-6119902	-	untreated	NT_100dpi_117908_id1_S4	2843	17888	0.15893336314847942
chr10_6119668-6119902	-	untreated	NT_100dpi_117908_id2_S5	2557	16078	0.15903719368080607
chr10_6119668-6119902	-	untreated	NT_100dpi_117909_id4_S6	2582	16687	0.15473122790195962
chr10_6119668-6119902	gRNA NotFound	BE39max	BE39max_100dpi_117426_id2_S8	2655	17412	0.15248104755341144
chr10_6119668-6119902	gRNA NotFound	BE39max	BE39max_100dpi_117910_id2_S12	2522	16204	0.1556405825722044
chr10_78069841-78070066	+	BE39max	BE39max_100dpi_117426_id1_S7	71	16051	0.004423400411189334
chr10_78069841-78070066	+	BE39max	BE39max_100dpi_117426_id2_S8	81	17657	0.004587415755790905
chr10_78069841-78070066	+	BE39max	BE39max_100dpi_117902_id1_S9	70	17032	0.004109910756223579
chr10_78069841-78070066	+	BE39max	BE39max_100dpi_117902_id3_S10	163	32074	0.005081997879902725
chr10_78069841-78070066	+	BE39max	BE39max_100dpi_117910_id1_S11	86	17929	0.004796698086898321
chr10_78069841-78070066	+	BE39max	BE39max_100dpi_117910_id2_S12	62	15020	0.004127829560585885
chr10_78069841-78070066	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	45	8958	0.005023442732752847
chr10_78069841-78070066	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	51	9955	0.005123053741838272
chr10_78069841-78070066	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	41	7691	0.0053309062540631905
chr10_78069841-78070066	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	34	8038	0.0042299079372978355
chr10_78069841-78070066	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	44	8323	0.005286555328607473
chr10_78069841-78070066	+	untreated	NT_100dpi_117907_id1_S1	46	12360	0.00372168284789644
chr10_78069841-78070066	+	untreated	NT_100dpi_117907_id2_S2	47	14599	0.0032193985889444484
chr10_78069841-78070066	+	untreated	NT_100dpi_117907_id3_S3	78	15191	0.005134619182410638
chr10_78069841-78070066	+	untreated	NT_100dpi_117908_id1_S4	70	15570	0.00449582530507386
chr10_78069841-78070066	+	untreated	NT_100dpi_117908_id2_S5	85	15576	0.005457113507960965
chr10_78069841-78070066	+	untreated	NT_100dpi_117909_id4_S6	99	14916	0.00663716814159292
chr10_79720035-79720254	+	BE39max	BE39max_100dpi_117426_id1_S7	381	107595	0.0035410567405548586
chr10_79720035-79720254	+	BE39max	BE39max_100dpi_117426_id2_S8	384	102557	0.0037442592899558295
chr10_79720035-79720254	+	BE39max	BE39max_100dpi_117902_id1_S9	378	91664	0.004123756327456799
chr10_79720035-79720254	+	BE39max	BE39max_100dpi_117910_id1_S11	292	90391	0.003230410107200938
chr10_79720035-79720254	+	BE39max	BE39max_100dpi_117910_id2_S12	225	74512	0.0030196478419583423
chr10_79720035-79720254	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	162	47460	0.003413400758533502
chr10_79720035-79720254	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	137	43265	0.00316653183866867
chr10_79720035-79720254	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	139	37929	0.0036647420179809643
chr10_79720035-79720254	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	131	43461	0.0030141966360645177
chr10_79720035-79720254	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	207	46107	0.004489556900253757
chr10_79720035-79720254	+	untreated	NT_100dpi_117907_id1_S1	147	62841	0.002339237122260944
chr10_79720035-79720254	+	untreated	NT_100dpi_117907_id2_S2	237	68124	0.0034789501497269684
chr10_79720035-79720254	+	untreated	NT_100dpi_117907_id3_S3	240	81546	0.002943124126260025
chr10_79720035-79720254	+	untreated	NT_100dpi_117908_id1_S4	290	92922	0.0031208970964895287
chr10_79720035-79720254	+	untreated	NT_100dpi_117908_id2_S5	283	91209	0.0031027639816246203
chr10_79720035-79720254	+	untreated	NT_100dpi_117909_id4_S6	254	75835	0.0033493769367706205
chr11_103829451-103829633	+	BE39max	BE39max_100dpi_117426_id1_S7	314	51485	0.006098863746722347
chr11_103829451-103829633	+	BE39max	BE39max_100dpi_117426_id2_S8	303	54804	0.005528793518721261
chr11_103829451-103829633	+	BE39max	BE39max_100dpi_117902_id1_S9	208	49177	0.00422961953758871
chr11_103829451-103829633	+	BE39max	BE39max_100dpi_117902_id3_S10	404	93961	0.004299656240355041
chr11_103829451-103829633	+	BE39max	BE39max_100dpi_117910_id1_S11	203	51895	0.003911744869447923
chr11_103829451-103829633	+	BE39max	BE39max_100dpi_117910_id2_S12	206	45711	0.004506573909999781
chr11_103829451-103829633	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	107	26885	0.003979914450437046
chr11_103829451-103829633	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	124	24996	0.00496079372699632
chr11_103829451-103829633	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	104	24889	0.004178552774317972
chr11_103829451-103829633	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	106	23279	0.0045534602001804205
chr11_103829451-103829633	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	103	24957	0.004127098609608527
chr11_103829451-103829633	+	untreated	NT_100dpi_117907_id1_S1	198	50033	0.003957388123838267
chr11_103829451-103829633	+	untreated	NT_100dpi_117907_id2_S2	174	44020	0.003952748750567924
chr11_103829451-103829633	+	untreated	NT_100dpi_117907_id3_S3	207	51057	0.004054292261589988
chr11_103829451-103829633	+	untreated	NT_100dpi_117908_id1_S4	237	51126	0.0046356061495129676
chr11_103829451-103829633	+	untreated	NT_100dpi_117908_id2_S5	216	47672	0.004530961570733344
chr11_103829451-103829633	+	untreated	NT_100dpi_117909_id4_S6	174	42652	0.0040795273375222735
chr11_113573551-113573732	+	BE39max	BE39max_100dpi_117426_id1_S7	129	17248	0.007479128014842301
chr11_113573551-113573732	+	BE39max	BE39max_100dpi_117426_id2_S8	132	18559	0.007112452179535535
chr11_113573551-113573732	+	BE39max	BE39max_100dpi_117902_id1_S9	92	14761	0.006232640065036244
chr11_113573551-113573732	+	BE39max	BE39max_100dpi_117910_id1_S11	134	17581	0.007621864512826346
chr11_113573551-113573732	+	BE39max	BE39max_100dpi_117910_id2_S12	120	16407	0.007313951362223441
chr11_113573551-113573732	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	104	9847	0.010561592363156291
chr11_113573551-113573732	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	86	8740	0.009839816933638444
chr11_113573551-113573732	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	97	8671	0.011186714335140123
chr11_113573551-113573732	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	69	7544	0.009146341463414634
chr11_113573551-113573732	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	72	8100	0.008888888888888889
chr11_113573551-113573732	+	untreated	NT_100dpi_117907_id1_S1	112	18260	0.006133625410733845
chr11_113573551-113573732	+	untreated	NT_100dpi_117907_id2_S2	116	15084	0.0076902678334659245
chr11_113573551-113573732	+	untreated	NT_100dpi_117907_id3_S3	121	17269	0.007006775146215762
chr11_113573551-113573732	+	untreated	NT_100dpi_117908_id1_S4	116	18322	0.006331186551686497
chr11_113573551-113573732	+	untreated	NT_100dpi_117908_id2_S5	99	14911	0.00663939373616793
chr11_113573551-113573732	+	untreated	NT_100dpi_117909_id4_S6	166	16017	0.010363988262471124
chr11_30184706-30184927	+	BE39max	BE39max_100dpi_117426_id1_S7	640	126570	0.0050564904795765185
chr11_30184706-30184927	+	BE39max	BE39max_100dpi_117426_id2_S8	683	133672	0.005109521814590939
chr11_30184706-30184927	+	BE39max	BE39max_100dpi_117902_id1_S9	627	133334	0.0047024764876175615
chr11_30184706-30184927	+	BE39max	BE39max_100dpi_117910_id1_S11	681	144385	0.004716556428991932
chr11_30184706-30184927	+	BE39max	BE39max_100dpi_117910_id2_S12	666	138318	0.004814991541231076
chr11_30184706-30184927	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	310	69515	0.004459469179313817
chr11_30184706-30184927	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	303	71836	0.004217940865304305
chr11_30184706-30184927	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	369	72767	0.005070979977187461
chr11_30184706-30184927	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	348	70242	0.004954300845647903
chr11_30184706-30184927	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	336	70654	0.004755569394514111
chr11_30184706-30184927	+	untreated	NT_100dpi_117907_id1_S1	323	94183	0.00342949364535001
chr11_30184706-30184927	+	untreated	NT_100dpi_117907_id2_S2	487	108409	0.004492246953666209
chr11_30184706-30184927	+	untreated	NT_100dpi_117907_id3_S3	554	125689	0.004407704731519862
chr11_30184706-30184927	+	untreated	NT_100dpi_117908_id1_S4	729	141238	0.005161500446055594
chr11_30184706-30184927	+	untreated	NT_100dpi_117908_id2_S5	552	126830	0.004352282582985098
chr11_30184706-30184927	+	untreated	NT_100dpi_117909_id4_S6	582	130031	0.004475855757473218
chr11_52420389-52420626	-	BE39max	BE39max_100dpi_117426_id1_S7	3144	126921	0.02477131443969083
chr11_52420389-52420626	-	BE39max	BE39max_100dpi_117426_id2_S8	3449	132112	0.0261066367930241
chr11_52420389-52420626	-	BE39max	BE39max_100dpi_117902_id1_S9	3056	120072	0.025451395829169166
chr11_52420389-52420626	-	BE39max	BE39max_100dpi_117902_id3_S10	5922	230758	0.025663248944781978
chr11_52420389-52420626	-	BE39max	BE39max_100dpi_117910_id1_S11	3339	131814	0.025331148436433155
chr11_52420389-52420626	-	BE39max	BE39max_100dpi_117910_id2_S12	2914	114342	0.02548494866278358
chr11_52420389-52420626	-	TadCBEd	TadCBEd_100dpi_117900_id1_S13	1362	52243	0.026070478341596003
chr11_52420389-52420626	-	TadCBEd	TadCBEd_100dpi_117901_id1_S14	1604	59573	0.02692494922196297
chr11_52420389-52420626	-	TadCBEd	TadCBEd_100dpi_117901_id3_S16	1562	62040	0.02517730496453901
chr11_52420389-52420626	-	TadCBEd	TadCBEd_100dpi_117904_id1_S17	1387	55072	0.025185212085996514
chr11_52420389-52420626	-	TadCBEd	TadCBEd_100dpi_117904_id3_S18	1485	59531	0.02494498664561321
chr11_52420389-52420626	-	untreated	NT_100dpi_117907_id1_S1	1383	57882	0.023893438374624234
chr11_52420389-52420626	-	untreated	NT_100dpi_117907_id2_S2	2383	87820	0.02713504896378957
chr11_52420389-52420626	-	untreated	NT_100dpi_117907_id3_S3	2736	108225	0.02528066528066528
chr11_52420389-52420626	-	untreated	NT_100dpi_117908_id1_S4	2862	109626	0.026106945432652837
chr11_52420389-52420626	-	untreated	NT_100dpi_117908_id2_S5	3205	114689	0.0279451385921928
chr11_52420389-52420626	-	untreated	NT_100dpi_117909_id4_S6	2659	101768	0.026128055970442574
chr11_5261227-5261385	+	BE39max	BE39max_100dpi_117426_id1_S7	40	4011	0.009972575417601595
chr11_5261227-5261385	+	BE39max	BE39max_100dpi_117426_id2_S8	17	4505	0.0037735849056603774
chr11_5261227-5261385	+	BE39max	BE39max_100dpi_117902_id1_S9	13	3813	0.0034093889325990034
chr11_5261227-5261385	+	BE39max	BE39max_100dpi_117902_id3_S10	35	9360	0.0037393162393162395
chr11_5261227-5261385	+	BE39max	BE39max_100dpi_117910_id1_S11	15	3812	0.003934942287513116
chr11_5261227-5261385	+	BE39max	BE39max_100dpi_117910_id2_S12	21	3496	0.006006864988558352
chr11_5261227-5261385	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	14	2978	0.0047011417058428475
chr11_5261227-5261385	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	10	2430	0.00411522633744856
chr11_5261227-5261385	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	8	2607	0.0030686612965093976
chr11_5261227-5261385	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	5	1800	0.002777777777777778
chr11_5261227-5261385	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	6	1837	0.00326619488296135
chr11_5261227-5261385	+	untreated	NT_100dpi_117907_id1_S1	62	11317	0.005478483697092869
chr11_5261227-5261385	+	untreated	NT_100dpi_117907_id2_S2	31	6001	0.005165805699050158
chr11_5261227-5261385	+	untreated	NT_100dpi_117907_id3_S3	28	4553	0.006149791346365034
chr11_5261227-5261385	+	untreated	NT_100dpi_117908_id1_S4	27	4420	0.006108597285067873
chr11_5261227-5261385	+	untreated	NT_100dpi_117908_id2_S5	16	4227	0.003785190442394133
chr11_5261227-5261385	+	untreated	NT_100dpi_117909_id4_S6	15	3302	0.0045427013930950935
chr11_53055472-53055684	+	BE39max	BE39max_100dpi_117426_id1_S7	558	102308	0.005454118934980647
chr11_53055472-53055684	+	BE39max	BE39max_100dpi_117426_id2_S8	622	107178	0.0058034298083561925
chr11_53055472-53055684	+	BE39max	BE39max_100dpi_117902_id1_S9	604	102296	0.005904434190975209
chr11_53055472-53055684	+	BE39max	BE39max_100dpi_117902_id3_S10	1142	193645	0.005897389553048103
chr11_53055472-53055684	+	BE39max	BE39max_100dpi_117910_id1_S11	677	120269	0.005629048216913752
chr11_53055472-53055684	+	BE39max	BE39max_100dpi_117910_id2_S12	621	101135	0.006140307509764176
chr11_53055472-53055684	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	338	54855	0.006161699024701486
chr11_53055472-53055684	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	360	55551	0.006480531403575093
chr11_53055472-53055684	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	302	56043	0.00538871937619328
chr11_53055472-53055684	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	379	51023	0.0074280226564490525
chr11_53055472-53055684	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	252	51730	0.004871447902571042
chr11_53055472-53055684	+	untreated	NT_100dpi_117907_id1_S1	456	82318	0.005539493184965621
chr11_53055472-53055684	+	untreated	NT_100dpi_117907_id2_S2	584	84696	0.006895248890148295
chr11_53055472-53055684	+	untreated	NT_100dpi_117907_id3_S3	548	95763	0.005722460658082976
chr11_53055472-53055684	+	untreated	NT_100dpi_117908_id1_S4	601	107020	0.005615772752756494
chr11_53055472-53055684	+	untreated	NT_100dpi_117908_id2_S5	555	101538	0.005465933936063346
chr11_53055472-53055684	+	untreated	NT_100dpi_117909_id4_S6	593	101853	0.005822116187053891
chr11_71871185-71871353	+	BE39max	BE39max_100dpi_117426_id1_S7	301	42356	0.007106431202190953
chr11_71871185-71871353	+	BE39max	BE39max_100dpi_117426_id2_S8	273	40829	0.006686423865389797
chr11_71871185-71871353	+	BE39max	BE39max_100dpi_117902_id1_S9	238	38337	0.006208101833737643
chr11_71871185-71871353	+	BE39max	BE39max_100dpi_117902_id3_S10	535	81627	0.006554203878618594
chr11_71871185-71871353	+	BE39max	BE39max_100dpi_117910_id1_S11	267	41858	0.006378708968417029
chr11_71871185-71871353	+	BE39max	BE39max_100dpi_117910_id2_S12	266	38351	0.006935933873953743
chr11_71871185-71871353	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	162	26673	0.006073557530086604
chr11_71871185-71871353	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	131	21973	0.005961862285532244
chr11_71871185-71871353	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	138	19748	0.006988049422726352
chr11_71871185-71871353	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	132	19411	0.006800267889341095
chr11_71871185-71871353	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	154	19753	0.007796284108742976
chr11_71871185-71871353	+	untreated	NT_100dpi_117907_id1_S1	312	53980	0.005779918488329011
chr11_71871185-71871353	+	untreated	NT_100dpi_117907_id2_S2	278	40105	0.006931804014462037
chr11_71871185-71871353	+	untreated	NT_100dpi_117907_id3_S3	253	41222	0.006137499393527728
chr11_71871185-71871353	+	untreated	NT_100dpi_117908_id1_S4	308	45997	0.006696088875361436
chr11_71871185-71871353	+	untreated	NT_100dpi_117908_id2_S5	244	36477	0.006689146585519642
chr11_71871185-71871353	+	untreated	NT_100dpi_117909_id4_S6	267	36210	0.007373653686826844
chr12_100442589-100442788	-	BE39max	BE39max_100dpi_117426_id1_S7	1529	130193	0.01174410298556758
chr12_100442589-100442788	-	BE39max	BE39max_100dpi_117426_id2_S8	1694	136003	0.012455607596891245
chr12_100442589-100442788	-	BE39max	BE39max_100dpi_117902_id1_S9	1405	130172	0.010793411793626894
chr12_100442589-100442788	-	BE39max	BE39max_100dpi_117902_id3_S10	3006	240497	0.01249911641309455
chr12_100442589-100442788	-	BE39max	BE39max_100dpi_117910_id1_S11	1558	136003	0.011455629655228193
chr12_100442589-100442788	-	BE39max	BE39max_100dpi_117910_id2_S12	1444	128792	0.011211876514069196
chr12_100442589-100442788	-	TadCBEd	TadCBEd_100dpi_117900_id1_S13	873	66436	0.013140466012402914
chr12_100442589-100442788	-	TadCBEd	TadCBEd_100dpi_117901_id1_S14	999	71779	0.013917719667312166
chr12_100442589-100442788	-	TadCBEd	TadCBEd_100dpi_117901_id3_S16	985	69257	0.014222389072584721
chr12_100442589-100442788	-	TadCBEd	TadCBEd_100dpi_117904_id1_S17	885	63959	0.013836989321283948
chr12_100442589-100442788	-	TadCBEd	TadCBEd_100dpi_117904_id3_S18	829	70745	0.01171814262492049
chr12_100442589-100442788	-	untreated	NT_100dpi_117907_id1_S1	1323	119789	0.011044419771431434
chr12_100442589-100442788	-	untreated	NT_100dpi_117907_id2_S2	1342	113418	0.011832337018815356
chr12_100442589-100442788	-	untreated	NT_100dpi_117907_id3_S3	1494	119241	0.012529247490376632
chr12_100442589-100442788	-	untreated	NT_100dpi_117908_id1_S4	1660	134528	0.012339438629876309
chr12_100442589-100442788	-	untreated	NT_100dpi_117908_id2_S5	1558	130902	0.011902033582374601
chr12_100442589-100442788	-	untreated	NT_100dpi_117909_id4_S6	1343	112714	0.01191511258583672
chr12_111466032-111466188	+	BE39max	BE39max_100dpi_117426_id1_S7	182	46460	0.003917348256564787
chr12_111466032-111466188	+	BE39max	BE39max_100dpi_117426_id2_S8	176	47431	0.003710653370158757
chr12_111466032-111466188	+	BE39max	BE39max_100dpi_117902_id1_S9	159	43415	0.0036623286882413912
chr12_111466032-111466188	+	BE39max	BE39max_100dpi_117902_id3_S10	319	86115	0.0037043488358590258
chr12_111466032-111466188	+	BE39max	BE39max_100dpi_117910_id1_S11	180	47476	0.003791389333558008
chr12_111466032-111466188	+	BE39max	BE39max_100dpi_117910_id2_S12	163	41707	0.003908216846092982
chr12_111466032-111466188	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	110	29590	0.0037174721189591076
chr12_111466032-111466188	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	80	24651	0.0032453044501237274
chr12_111466032-111466188	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	108	22468	0.0048068363895317785
chr12_111466032-111466188	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	72	21891	0.0032890228861175825
chr12_111466032-111466188	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	72	23967	0.0030041306796845663
chr12_111466032-111466188	+	untreated	NT_100dpi_117907_id1_S1	164	55511	0.0029543694042622184
chr12_111466032-111466188	+	untreated	NT_100dpi_117907_id2_S2	156	45378	0.0034377892370752346
chr12_111466032-111466188	+	untreated	NT_100dpi_117907_id3_S3	179	48827	0.0036660044647428675
chr12_111466032-111466188	+	untreated	NT_100dpi_117908_id1_S4	210	50097	0.004191867776513564
chr12_111466032-111466188	+	untreated	NT_100dpi_117908_id2_S5	187	45916	0.004072654412405262
chr12_111466032-111466188	+	untreated	NT_100dpi_117909_id4_S6	199	41208	0.004829159386526888
chr13_101231637-101231880	+	BE39max	BE39max_100dpi_117426_id1_S7	766	162984	0.004699847837824572
chr13_101231637-101231880	+	BE39max	BE39max_100dpi_117426_id2_S8	1036	182236	0.0056849360170328584
chr13_101231637-101231880	+	BE39max	BE39max_100dpi_117902_id1_S9	774	165413	0.004679196919226421
chr13_101231637-101231880	+	BE39max	BE39max_100dpi_117902_id3_S10	1685	310435	0.005427867347431829
chr13_101231637-101231880	+	BE39max	BE39max_100dpi_117910_id1_S11	750	169828	0.004416232894457922
chr13_101231637-101231880	+	BE39max	BE39max_100dpi_117910_id2_S12	846	162545	0.005204712541142453
chr13_101231637-101231880	+	TadCBEd	TadCBEd_100dpi_117900_id1_S13	441	82080	0.00537280701754386
chr13_101231637-101231880	+	TadCBEd	TadCBEd_100dpi_117901_id1_S14	431	85872	0.005019098192658841
chr13_101231637-101231880	+	TadCBEd	TadCBEd_100dpi_117901_id3_S16	414	82024	0.005047303228323418
chr13_101231637-101231880	+	TadCBEd	TadCBEd_100dpi_117904_id1_S17	374	76202	0.004908007663840844
chr13_101231637-101231880	+	TadCBEd	TadCBEd_100dpi_117904_id3_S18	421	85775	0.004908190032060624
chr13_101231637-101231880	+	untreated	NT_100dpi_117907_id1_S1	391	91181	0.004288174071352584
chr13_101231637-101231880	+	untreated	NT_100dpi_117907_id2_S2	605	124433	0.004862054278205942
