amplicon	strand	p_value	editing_BE39max	editing_untreated	difference
chr5_123457646-123457835	+	0.511027797282678	0.002534261854368468	0.002541259732766029	-6.997878397561191e-6
chr5_136040022-136040183	-	0.17177229989515852	0.004431907284034077	0.004232136766702483	1.9977051733159439e-4
chr5_27480436-27480617	-	0.826298850070774	0.004600358163691494	0.004927083999642167	-3.267258359506732e-4
chr5_28083542-28083704	+	0.016839222994312644	0.005632323296408318	0.004695629094220826	9.366942021874916e-4
chr5_67214627-67214846	+	0.9587296325334562	0.0041387270482992275	0.004532735805122517	-3.940087568232893e-4
chr5_92349481-92349710	+	0.982094338235612	0.0040714943108858025	0.004337223778215387	-2.657294673295849e-4
chr6_127307909-127308102	-	0.3984352258545907	0.00395321888305829	0.003917675142629216	3.5543740429073815e-5
chr6_133859819-133860012	+	0.48053273990259926	0.003285704804128727	0.0032774084491496514	8.296354979075733e-6
chr6_136264046-136264277	-	0.11263254143110486	0.08730953464035349	0.08616817975182818	0.001141354888525306
chr6_29199260-29199502	+	0.5727970532253365	0.005458873837056732	0.005484599376067895	-2.5725539011163708e-5
chr7_111704209-111704381	-	0.9712897774596089	0.004055575771866668	0.0044109243543701895	-3.5534858250352123e-4
chr7_133222940-133223156	+	0.6896320547109849	0.0038601195453126565	0.003948863727280586	-8.874418196792942e-5
chr7_143405677-143405856	+	0.5660877828145444	0.0070560088250196055	0.0071377079474929505	-8.169912247334501e-5
chr7_47704271-47704434	-	0.8645636881831836	0.0035986919156785493	0.004074769457637912	-4.7607754195936247e-4
chr8_103143317-103143556	-	0.4426907567204935	0.0090765885194342	0.009035864821346497	4.0723698087703417e-5
chr8_103485362-103485601	+	0.7051365149545246	0.00572374182444408	0.005835601093137067	-1.1185926869298687e-4
chr8_119830749-119830913	+	0.7884035242496756	0.006538881333189705	0.006710630071803639	-1.7174873861393412e-4
chr8_123949261-123949433	+	0.9172163310609605	0.005404793420926706	0.006106566524298407	-7.017731033717011e-4
chr8_126188646-126188887	+	0.8934713762747023	0.026693490066640943	0.027370149729059875	-6.766596624189318e-4
chr8_41583648-41583813	-	0.1239293269285397	0.005421399738341046	0.0051916688492479445	2.2973088909310126e-4
chr8_88987876-88988052	+	0.4365778674998159	0.0038897952888163694	0.003860900204314727	2.8895084501642364e-05
chr8_94889916-94890149	+	0.39237409582973193	0.006330419587160813	0.006270342937420869	6.007664973994419e-5
chr9_102992936-102993147	-	0.6220471166236952	0.004393872025413206	0.004435570250954286	-4.169822554107947e-5
chr9_118758414-118758609	+	0.9589321806145819	0.0067296693911482065	0.007190692615370757	-4.6102322422255076e-4
chr9_18834538-18834779	-	0.3610286206176079	0.012986406136541376	0.012815931106504076	1.7047503003730057e-4
chr9_36581513-36581754	+	0.8812587739564373	0.006404643373547817	0.006636484465704656	-2.3184109215683944e-4
chr9_46466622-46466793	+	0.4217970896055777	0.004508767053416445	0.00447634078245273	3.242627096371534e-5
chr9_58436125-58436357	-	0.03793802427828252	0.028775207556016775	0.027445322701757126	0.001329884854259649
chr9_78028346-78028570	+	0.9045162964020509	0.004580502017973989	0.004913129227051151	-3.326272090771621e-4
chrX_13448114-13448287	+	0.8535781251566066	0.0034914913069528744	0.003814139406326735	-3.2264809937386073e-4
chrX_99470598-99470773	-	0.937556449748284	0.005555025504365445	0.0069387344050660235	-0.0013837089007005783
